pl_name,hostname,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,sy_dist,sy_pnum,sy_snum
Kepler-1668 b,Kepler-1668,2020,15.434,0.124,4.349092,,721.0,5328.33,1.05,1.065,1386.19,1,1
Kepler-1669 b,Kepler-1669,2020,9.51216,0.0729,2.779832,,496.0,4303.0,0.714,0.67,543.444,3,1
Kepler-1669 c,Kepler-1669,2017,1.609320045,0.0223,1.9010464,,897.0,4303.0,0.714,0.67,543.444,3,1
Kepler-1669 d,Kepler-1669,2017,4.729469776,0.0468,1.6028869999999997,,669.0,4303.0,0.714,0.67,543.444,3,1
Kepler-166 b,Kepler-166,2014,7.650254,0.072,2.275427,,,5413.0,0.74,,614.16,3,1
Kepler-166 c,Kepler-166,2014,34.260281,0.195,2.376308,,,5413.0,0.74,,614.16,3,1
Kepler-166 d,Kepler-166,2016,1.55400393,,1.726186,,,5413.0,0.74,,614.16,3,1
Kepler-1670 b,Kepler-1670,2020,20.4998,0.151,3.3514909999999998,,734.0,5766.0,1.57,1.086,2198.41,1,1
Kepler-1671 b,Kepler-1671,2020,4.16787,0.0464,1.3226619999999998,,984.0,5085.99,0.92,0.766,360.77,1,1
Kepler-1672 b,Kepler-1672,2020,150.878,0.5431,2.970385,,411.0,5899.25,1.08,0.936,395.58,1,1
Kepler-1673 b,Kepler-1673,2020,33.7888,0.2114,2.936758,,604.0,6220.81,1.04,1.1,742.78,1,1
Kepler-1674 b,Kepler-1674,2020,62.5611,0.3008,3.2057739999999995,,419.0,5326.33,0.87,0.925,1042.07,1,1
Kepler-1675 b,Kepler-1675,2020,63.0382,0.3235,3.127311,,493.0,5747.0,1.13,1.137,663.58,1,1
Kepler-1676 b,Kepler-1676,2020,29.9221,0.1954,3.373909,,613.0,6127.0,1.637,1.109,892.5,1,1
Kepler-1677 b,Kepler-1677,2020,22.064,0.1634,2.7013689999999997,,726.0,5804.5,1.2,1.195,751.23,1,1
Kepler-1678 b,Kepler-1678,2020,147.974,0.5407,3.3066549999999997,,337.0,5421.0,0.9,0.961,867.94,1,1
Kepler-1679 b,Kepler-1679,2020,9.75376,0.0892,2.073665,,813.0,5358.25,0.9,0.996,932.63,1,1
Kepler-167 Ab,Kepler-167 A,2014,4.3931539,0.04825,1.7180034299999998,,918.0,4884.0,0.749,0.777,330.0,4,1
Kepler-167 Ac,Kepler-167 A,2014,7.406106,0.0684,1.67406415,,771.0,4884.0,0.749,0.777,330.0,4,1
Kepler-167 Ad,Kepler-167 A,2016,21.80379,0.1404,1.23803405,,538.0,4884.0,0.749,0.777,330.0,4,1
Kepler-167 Ae,Kepler-167 A,2016,1071.23205,1.883,10.1598376,1271.2,134.4,4884.0,0.749,0.777,330.0,4,1
Kepler-1680 b,Kepler-1680,2020,8.77424,0.0784,1.3562889999999999,,771.0,4975.5,0.7,0.832,313.12,1,1
LRL 52142,,2020,,,,9534.0,,,,,,945,1
Kepler-1681 Ab,Kepler-1681 A,2020,69.8956,0.2985,2.555652,,387.0,5173.08,0.89,0.724,652.25,1,1
Kepler-1682 b,Kepler-1682,2020,14.8334,0.1152,2.891922,,729.0,5517.75,0.84,0.926,1197.63,1,1
Kepler-1683 b,Kepler-1683,2020,15.0337,0.1155,1.871903,,723.0,5047.59,0.95,0.909,748.64,1,1
Kepler-1684 b,Kepler-1684,2020,47.7055,0.2259,2.869504,,341.0,4787.0,0.6,0.672,633.05,1,1
Kepler-1685 b,Kepler-1685,2020,20.4905,0.1485,2.57807,,625.0,5378.58,0.79,1.038,1178.83,1,1
Kepler-1686 b,Kepler-1686,2020,9.30987,0.0866,1.423543,,913.0,5774.33,1.14,0.996,745.49,1,1
Kepler-1687 b,Kepler-1687,2020,5.77954,0.0522,1.6589319999999999,,578.0,4249.0,0.65,0.565,422.02,1,1
Kepler-1688 b,Kepler-1688,2020,5.62012,0.0608,1.266617,,1184.0,4936.24,1.826,0.949,567.45,1,1
Kepler-1689 b,Kepler-1689,2020,8.483,0.0791,0.9415560000000001,,909.0,5806.0,0.96,0.916,296.63,1,1
Kepler-168 b,Kepler-168,2014,4.425391,0.056,1.45717,,,6282.0,1.11,,1396.0,2,1
Kepler-168 c,Kepler-168,2014,13.193242,0.116,2.6901599999999997,,,6282.0,1.11,,1396.0,2,1
Kepler-1690 b,Kepler-1690,2020,234.636,0.7143,2.813459,,273.0,5336.5,0.87,0.882,718.3,1,1
